area_code,area_name,population,seifa_quintile,remoteness,drug_type,episodes,rate_per_100k,financial_year
401011001,Adelaide,4147,Q2,Inner Regional Australia,Alcohol,21,506.4,2024-25
401011001,Adelaide,4147,Q2,Inner Regional Australia,Psychostimulants,11,265.3,2024-25
401011001,Adelaide,4147,Q2,Inner Regional Australia,Opioid,3,72.3,2024-25
401011001,Adelaide,4147,Q2,Inner Regional Australia,Hallucinogens,0,0.0,2024-25
401011001,Adelaide,4147,Q2,Inner Regional Australia,Multiple drug use,4,96.5,2024-25
401011001,Adelaide,4147,Q2,Inner Regional Australia,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",1,24.1,2024-25
401011001,Adelaide,4147,Q2,Inner Regional Australia,Non-opioid analgesic and antirheumatic,1,24.1,2024-25
401011001,Adelaide,4147,Q2,Inner Regional Australia,Cannabinoids,4,96.5,2024-25
401011001,Adelaide,4147,Q2,Inner Regional Australia,Other,2,48.2,2024-25
401011001,Adelaide,4147,Q2,Inner Regional Australia,"Sedative-hypnotics, antiepileptics and antiparkinson",0,0.0,2024-25
401011001,Adelaide,4147,Q2,Inner Regional Australia,Steroids or hormones,0,0.0,2024-25
401011001,Adelaide,4147,Q2,Inner Regional Australia,Inhalants,0,0.0,2024-25
401011001,Adelaide,4147,Q2,Inner Regional Australia,Anaesthetics,1,24.1,2024-25
401011001,Adelaide,4147,Q2,Inner Regional Australia,Analeptics and opioid receptor antagonists,0,0.0,2024-25
401011001,Adelaide,4147,Q2,Inner Regional Australia,Androgens and anabolic congeners,0,0.0,2024-25
401011001,Adelaide,4147,Q2,Inner Regional Australia,All drug-related,48,1157.5,2024-25
401011002,North Adelaide,9678,Q3,Outer Regional Australia,Alcohol,32,330.6,2024-25
401011002,North Adelaide,9678,Q3,Outer Regional Australia,Psychostimulants,18,186.0,2024-25
401011002,North Adelaide,9678,Q3,Outer Regional Australia,Opioid,8,82.7,2024-25
401011002,North Adelaide,9678,Q3,Outer Regional Australia,Hallucinogens,1,10.3,2024-25
401011002,North Adelaide,9678,Q3,Outer Regional Australia,Multiple drug use,6,62.0,2024-25
401011002,North Adelaide,9678,Q3,Outer Regional Australia,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",0,0.0,2024-25
401011002,North Adelaide,9678,Q3,Outer Regional Australia,Non-opioid analgesic and antirheumatic,2,20.7,2024-25
401011002,North Adelaide,9678,Q3,Outer Regional Australia,Cannabinoids,10,103.3,2024-25
401011002,North Adelaide,9678,Q3,Outer Regional Australia,Other,1,10.3,2024-25
401011002,North Adelaide,9678,Q3,Outer Regional Australia,"Sedative-hypnotics, antiepileptics and antiparkinson",9,93.0,2024-25
401011002,North Adelaide,9678,Q3,Outer Regional Australia,Steroids or hormones,0,0.0,2024-25
401011002,North Adelaide,9678,Q3,Outer Regional Australia,Inhalants,0,0.0,2024-25
401011002,North Adelaide,9678,Q3,Outer Regional Australia,Anaesthetics,1,10.3,2024-25
401011002,North Adelaide,9678,Q3,Outer Regional Australia,Analeptics and opioid receptor antagonists,2,20.7,2024-25
401011002,North Adelaide,9678,Q3,Outer Regional Australia,Androgens and anabolic congeners,0,0.0,2024-25
401011002,North Adelaide,9678,Q3,Outer Regional Australia,All drug-related,90,929.9,2024-25
401021003,Adelaide Hills,7607,Q4,Remote Australia,Alcohol,34,447.0,2024-25
401021003,Adelaide Hills,7607,Q4,Remote Australia,Psychostimulants,16,210.3,2024-25
401021003,Adelaide Hills,7607,Q4,Remote Australia,Opioid,9,118.3,2024-25
401021003,Adelaide Hills,7607,Q4,Remote Australia,Hallucinogens,3,39.4,2024-25
401021003,Adelaide Hills,7607,Q4,Remote Australia,Multiple drug use,5,65.7,2024-25
401021003,Adelaide Hills,7607,Q4,Remote Australia,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",5,65.7,2024-25
401021003,Adelaide Hills,7607,Q4,Remote Australia,Non-opioid analgesic and antirheumatic,2,26.3,2024-25
401021003,Adelaide Hills,7607,Q4,Remote Australia,Cannabinoids,7,92.0,2024-25
401021003,Adelaide Hills,7607,Q4,Remote Australia,Other,1,13.1,2024-25
401021003,Adelaide Hills,7607,Q4,Remote Australia,"Sedative-hypnotics, antiepileptics and antiparkinson",6,78.9,2024-25
401021003,Adelaide Hills,7607,Q4,Remote Australia,Steroids or hormones,0,0.0,2024-25
401021003,Adelaide Hills,7607,Q4,Remote Australia,Inhalants,3,39.4,2024-25
401021003,Adelaide Hills,7607,Q4,Remote Australia,Anaesthetics,1,13.1,2024-25
401021003,Adelaide Hills,7607,Q4,Remote Australia,Analeptics and opioid receptor antagonists,0,0.0,2024-25
401021003,Adelaide Hills,7607,Q4,Remote Australia,Androgens and anabolic congeners,0,0.0,2024-25
401021003,Adelaide Hills,7607,Q4,Remote Australia,All drug-related,92,1209.4,2024-25
401021004,Aldgate - Stirling,6446,Q5 - least disadvantaged,Very Remote Australia,Alcohol,27,418.9,2024-25
401021004,Aldgate - Stirling,6446,Q5 - least disadvantaged,Very Remote Australia,Psychostimulants,13,201.7,2024-25
401021004,Aldgate - Stirling,6446,Q5 - least disadvantaged,Very Remote Australia,Opioid,7,108.6,2024-25
401021004,Aldgate - Stirling,6446,Q5 - least disadvantaged,Very Remote Australia,Hallucinogens,0,0.0,2024-25
401021004,Aldgate - Stirling,6446,Q5 - least disadvantaged,Very Remote Australia,Multiple drug use,3,46.5,2024-25
401021004,Aldgate - Stirling,6446,Q5 - least disadvantaged,Very Remote Australia,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",3,46.5,2024-25
401021004,Aldgate - Stirling,6446,Q5 - least disadvantaged,Very Remote Australia,Non-opioid analgesic and antirheumatic,2,31.0,2024-25
401021004,Aldgate - Stirling,6446,Q5 - least disadvantaged,Very Remote Australia,Cannabinoids,7,108.6,2024-25
401021004,Aldgate - Stirling,6446,Q5 - least disadvantaged,Very Remote Australia,Other,1,15.5,2024-25
401021004,Aldgate - Stirling,6446,Q5 - least disadvantaged,Very Remote Australia,"Sedative-hypnotics, antiepileptics and antiparkinson",4,62.1,2024-25
401021004,Aldgate - Stirling,6446,Q5 - least disadvantaged,Very Remote Australia,Steroids or hormones,0,0.0,2024-25
401021004,Aldgate - Stirling,6446,Q5 - least disadvantaged,Very Remote Australia,Inhalants,0,0.0,2024-25
401021004,Aldgate - Stirling,6446,Q5 - least disadvantaged,Very Remote Australia,Anaesthetics,0,0.0,2024-25
401021004,Aldgate - Stirling,6446,Q5 - least disadvantaged,Very Remote Australia,Analeptics and opioid receptor antagonists,0,0.0,2024-25
401021004,Aldgate - Stirling,6446,Q5 - least disadvantaged,Very Remote Australia,Androgens and anabolic congeners,0,0.0,2024-25
401021004,Aldgate - Stirling,6446,Q5 - least disadvantaged,Very Remote Australia,All drug-related,67,1039.4,2024-25
401021005,Hahndorf - Echunga,6259,Q1 - most disadvantaged,Very Remote Australia,Alcohol,27,431.4,2024-25
401021005,Hahndorf - Echunga,6259,Q1 - most disadvantaged,Very Remote Australia,Psychostimulants,7,111.8,2024-25
401021005,Hahndorf - Echunga,6259,Q1 - most disadvantaged,Very Remote Australia,Opioid,7,111.8,2024-25
401021005,Hahndorf - Echunga,6259,Q1 - most disadvantaged,Very Remote Australia,Hallucinogens,2,32.0,2024-25
401021005,Hahndorf - Echunga,6259,Q1 - most disadvantaged,Very Remote Australia,Multiple drug use,4,63.9,2024-25
401021005,Hahndorf - Echunga,6259,Q1 - most disadvantaged,Very Remote Australia,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",1,16.0,2024-25
401021005,Hahndorf - Echunga,6259,Q1 - most disadvantaged,Very Remote Australia,Non-opioid analgesic and antirheumatic,2,32.0,2024-25
401021005,Hahndorf - Echunga,6259,Q1 - most disadvantaged,Very Remote Australia,Cannabinoids,6,95.9,2024-25
401021005,Hahndorf - Echunga,6259,Q1 - most disadvantaged,Very Remote Australia,Other,1,16.0,2024-25
401021005,Hahndorf - Echunga,6259,Q1 - most disadvantaged,Very Remote Australia,"Sedative-hypnotics, antiepileptics and antiparkinson",3,47.9,2024-25
401021005,Hahndorf - Echunga,6259,Q1 - most disadvantaged,Very Remote Australia,Steroids or hormones,0,0.0,2024-25
401021005,Hahndorf - Echunga,6259,Q1 - most disadvantaged,Very Remote Australia,Inhalants,1,16.0,2024-25
401021005,Hahndorf - Echunga,6259,Q1 - most disadvantaged,Very Remote Australia,Anaesthetics,0,0.0,2024-25
401021005,Hahndorf - Echunga,6259,Q1 - most disadvantaged,Very Remote Australia,Analeptics and opioid receptor antagonists,0,0.0,2024-25
401021005,Hahndorf - Echunga,6259,Q1 - most disadvantaged,Very Remote Australia,Androgens and anabolic congeners,0,0.0,2024-25
401021005,Hahndorf - Echunga,6259,Q1 - most disadvantaged,Very Remote Australia,All drug-related,61,974.6,2024-25
401021006,Lobethal - Woodside,11486,Q2,Very Remote Australia,Alcohol,53,461.4,2024-25
401021006,Lobethal - Woodside,11486,Q2,Very Remote Australia,Psychostimulants,14,121.9,2024-25
401021006,Lobethal - Woodside,11486,Q2,Very Remote Australia,Opioid,8,69.7,2024-25
401021006,Lobethal - Woodside,11486,Q2,Very Remote Australia,Hallucinogens,0,0.0,2024-25
401021006,Lobethal - Woodside,11486,Q2,Very Remote Australia,Multiple drug use,13,113.2,2024-25
401021006,Lobethal - Woodside,11486,Q2,Very Remote Australia,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",9,78.4,2024-25
401021006,Lobethal - Woodside,11486,Q2,Very Remote Australia,Non-opioid analgesic and antirheumatic,4,34.8,2024-25
401021006,Lobethal - Woodside,11486,Q2,Very Remote Australia,Cannabinoids,10,87.1,2024-25
401021006,Lobethal - Woodside,11486,Q2,Very Remote Australia,Other,2,17.4,2024-25
401021006,Lobethal - Woodside,11486,Q2,Very Remote Australia,"Sedative-hypnotics, antiepileptics and antiparkinson",4,34.8,2024-25
401021006,Lobethal - Woodside,11486,Q2,Very Remote Australia,Steroids or hormones,1,8.7,2024-25
401021006,Lobethal - Woodside,11486,Q2,Very Remote Australia,Inhalants,0,0.0,2024-25
401021006,Lobethal - Woodside,11486,Q2,Very Remote Australia,Anaesthetics,0,0.0,2024-25
401021006,Lobethal - Woodside,11486,Q2,Very Remote Australia,Analeptics and opioid receptor antagonists,1,8.7,2024-25
401021006,Lobethal - Woodside,11486,Q2,Very Remote Australia,Androgens and anabolic congeners,0,0.0,2024-25
401021006,Lobethal - Woodside,11486,Q2,Very Remote Australia,All drug-related,119,1036.0,2024-25
401021007,Mount Barker,12861,Q3,Major Cities of Australia,Alcohol,58,451.0,2024-25
401021007,Mount Barker,12861,Q3,Major Cities of Australia,Psychostimulants,13,101.1,2024-25
401021007,Mount Barker,12861,Q3,Major Cities of Australia,Opioid,8,62.2,2024-25
401021007,Mount Barker,12861,Q3,Major Cities of Australia,Hallucinogens,1,7.8,2024-25
401021007,Mount Barker,12861,Q3,Major Cities of Australia,Multiple drug use,8,62.2,2024-25
401021007,Mount Barker,12861,Q3,Major Cities of Australia,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",8,62.2,2024-25
401021007,Mount Barker,12861,Q3,Major Cities of Australia,Non-opioid analgesic and antirheumatic,2,15.6,2024-25
401021007,Mount Barker,12861,Q3,Major Cities of Australia,Cannabinoids,12,93.3,2024-25
401021007,Mount Barker,12861,Q3,Major Cities of Australia,Other,3,23.3,2024-25
401021007,Mount Barker,12861,Q3,Major Cities of Australia,"Sedative-hypnotics, antiepileptics and antiparkinson",7,54.4,2024-25
401021007,Mount Barker,12861,Q3,Major Cities of Australia,Steroids or hormones,0,0.0,2024-25
401021007,Mount Barker,12861,Q3,Major Cities of Australia,Inhalants,0,0.0,2024-25
401021007,Mount Barker,12861,Q3,Major Cities of Australia,Anaesthetics,0,0.0,2024-25
401021007,Mount Barker,12861,Q3,Major Cities of Australia,Analeptics and opioid receptor antagonists,0,0.0,2024-25
401021007,Mount Barker,12861,Q3,Major Cities of Australia,Androgens and anabolic congeners,0,0.0,2024-25
401021007,Mount Barker,12861,Q3,Major Cities of Australia,All drug-related,120,933.1,2024-25
401021008,Mount Barker Surrounds,4128,Q4,Inner Regional Australia,Alcohol,20,484.5,2024-25
401021008,Mount Barker Surrounds,4128,Q4,Inner Regional Australia,Psychostimulants,7,169.6,2024-25
401021008,Mount Barker Surrounds,4128,Q4,Inner Regional Australia,Opioid,3,72.7,2024-25
401021008,Mount Barker Surrounds,4128,Q4,Inner Regional Australia,Hallucinogens,1,24.2,2024-25
401021008,Mount Barker Surrounds,4128,Q4,Inner Regional Australia,Multiple drug use,5,121.1,2024-25
401021008,Mount Barker Surrounds,4128,Q4,Inner Regional Australia,"Psychotropics (antidepressants, antipsychotics and neuroleptics)",2,48.4,2024-25
401021008,Mount Barker Surrounds,4128,Q4,Inner Regional Australia,Non-opioid analgesic and antirheumatic,1,24.2,2024-25
401021008,Mount Barker Surrounds,4128,Q4,Inner Regional Australia,Cannabinoids,4,96.9,2024-25
401021008,Mount Barker Surrounds,4128,Q4,Inner Regional Australia,Other,0,0.0,2024-25
401021008,Mount Barker Surrounds,4128,Q4,Inner Regional Australia,"Sedative-hypnotics, antiepileptics and antiparkinson",1,24.2,2024-25
401021008,Mount Barker Surrounds,4128,Q4,Inner Regional Australia,Steroids or hormones,0,0.0,2024-25
401021008,Mount Barker Surrounds,4128,Q4,Inner Regional Australia,Inhalants,0,0.0,2024-25
401021008,Mount Barker Surrounds,4128,Q4,Inner Regional Australia,Anaesthetics,0,0.0,2024-25
401021008,Mount Barker Surrounds,4128,Q4,Inner Regional Australia,Analeptics and opioid receptor antagonists,0,0.0,2024-25
401021008,Mount Barker Surrounds,4128,Q4,Inner Regional Australia,Androgens and anabolic congeners,0,0.0,2024-25
401021008,Mount Barker Surrounds,4128,Q4,Inner Regional Australia,All drug-related,44,1065.9,2024-25
